LandUse,SoilTexture,DistanceKM,hectares
Cropland,sand,150,55839.7
Cropland,sandy clay loam,150,4.5
Cropland,sandy loam,150,179.3
Cropland,silt loam,150,984.3
Developed,clay,150,259.8
Developed,clay loam,150,6.1
Developed,loam,150,7301.4
Developed,loamy sand,150,317.1
Developed,organic,150,3235.8
Developed,sand,150,78383.2
Developed,sandy clay loam,150,928.4
Developed,sandy loam,150,17.6
Developed,silt loam,150,1051.5
Developed,silty clay loam,150,105.5
Forest,clay,150,18.9
Forest,loam,150,113.3
Forest,loamy sand,150,38.9
Forest,organic,150,509.6
Forest,sand,150,17775.4
Forest,sandy clay loam,150,6.7
Forest,silt loam,150,5.0
Pasture/grassland,clay,150,7147.1
Pasture/grassland,clay loam,150,3.9
Pasture/grassland,loam,150,536.2
Pasture/grassland,loamy sand,150,2324.9
Pasture/grassland,organic,150,8331.6
Pasture/grassland,sand,150,180833.8
Pasture/grassland,sandy clay loam,150,151.1
Pasture/grassland,sandy loam,150,91.0
Pasture/grassland,silt loam,150,37.3
Water/wetland,clay,150,10641.1
Water/wetland,clay loam,150,300.0
Water/wetland,loam,150,2849.4
Water/wetland,loamy sand,150,3466.2
Water/wetland,organic,150,67510.4
Water/wetland,sand,150,154396.5
Water/wetland,sandy clay loam,150,1612.9
Water/wetland,sandy loam,150,885.2
Water/wetland,silt loam,150,1272.2
Water/wetland,silty clay loam,150,70.1
Barren,clay,175,163.7
Barren,loam,175,89.8
Barren,loamy sand,175,44.7
Barren,organic,175,104.1
Barren,sand,175,4883.3
Barren,silt loam,175,425.0
Cropland,clay,175,14.4
Cropland,loam,175,10590.0
Cropland,loamy sand,175,545.5
Cropland,organic,175,3019.6
Cropland,sand,175,45409.8
Cropland,sandy clay loam,175,12.9
Cropland,sandy loam,175,196.7
Cropland,silt loam,175,3754.1
Developed,clay,175,463.7
Developed,loam,175,5082.7
Developed,loamy sand,175,2556.8
Developed,organic,175,5188.6
Developed,sand,175,144054.8
Developed,sandy clay loam,175,273.7
Developed,sandy loam,175,76.8
Developed,silt loam,175,2963.2
Forest,clay,175,58.1
Forest,loam,175,37.2
Forest,loamy sand,175,379.5
Forest,organic,175,552.5
Forest,sand,175,11975.2
Forest,sandy clay loam,175,7.7
Forest,sandy loam,175,2.5
Forest,silt loam,175,4.4
Pasture/grassland,clay,175,1465.4
Pasture/grassland,loam,175,234.6
Pasture/grassland,loamy sand,175,1447.1
Pasture/grassland,organic,175,6352.4
Pasture/grassland,sand,175,117457.6
Pasture/grassland,sandy clay loam,175,101.2
Pasture/grassland,sandy loam,175,91.9
Pasture/grassland,silt loam,175,150.9
Water/wetland,clay,175,4065.2
Water/wetland,loam,175,3757.0
Water/wetland,loamy sand,175,2598.1
Water/wetland,organic,175,52718.8
Water/wetland,sand,175,120362.2
Water/wetland,sandy clay loam,175,1029.9
Water/wetland,sandy loam,175,642.5
Water/wetland,silt loam,175,30211.7
